web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,28/08/2023,19/05/2024,26/05/2024,498.75,498.75,MOBILHOME 4 personnes - Montagnon 3 Pièces 4 Personnes + TV,,Camping Des Gaves,4 Adultes, 64440 LARUNS,,20,camping-des-gaves-79684,
,28/08/2023,19/05/2024,26/05/2024,617.40,617.40,CHALET 6 personnes - 3 Pièces 6 Personnes + TV,,Camping Des Gaves,6 Adultes, 64440 LARUNS,,20,camping-des-gaves-79684,
,28/08/2023,19/05/2024,26/05/2024,690.90,690.90,TENTE TOILE ET BOIS 5 personnes - Lodge Confort 3 Pièces 5 Personnes + TV,,Camping Des Gaves,5 Adultes, 64440 LARUNS,,20,camping-des-gaves-79684,
,28/08/2023,16/09/2023,23/09/2023,360,360,MOBILHOME 4 personnes - MH2 COTTAGE FAMILY,,Village Vacances de Gruissan,4 Adultes, 11430 GRUISSAN,,37,village-vacances-de-gruissan-77308,
,28/08/2023,16/09/2023,23/09/2023,534,534,GÎTE 6 personnes - Gîte 6 personnes,,Village Vacances de Gruissan,6 Adultes, 11430 GRUISSAN,,37,village-vacances-de-gruissan-77308,
,28/08/2023,16/09/2023,23/09/2023,564,564,MOBILHOME 4 personnes - MH2 COTTAGE PREMIUM PMR,,Village Vacances de Gruissan,4 Adultes, 11430 GRUISSAN,,37,village-vacances-de-gruissan-77308,
,28/08/2023,16/09/2023,23/09/2023,720,720,MOBILHOME 8 personnes - MH3 COTTAGE PREMIUM 6/8,,Village Vacances de Gruissan,6 Adultes, 11430 GRUISSAN,,37,village-vacances-de-gruissan-77308,
,28/08/2023,19/05/2024,26/05/2024,385,385,BUNGALOW TOILÉ 4 personnes - Coco Sweet (sans sanitaires),,Camping Le Mas de Reilhe,4 Adultes, 30260 CRESPIAN,,20,camping-le-mas-de-reilhe-77155,
,28/08/2023,19/05/2024,26/05/2024,420,420,"TENTE TOILE ET BOIS 5 personnes - Lodge Victoria (sans sanitaires, ni eau, ni chauffage)",,Camping Le Mas de Reilhe,4 Adultes, 30260 CRESPIAN,,20,camping-le-mas-de-reilhe-77155,
,28/08/2023,19/05/2024,26/05/2024,427,427,BUNGALOW TOILÉ 2 personnes - Coco Sweet (sans sanitaires),,Camping Le Mas de Reilhe,2 Adultes, 30260 CRESPIAN,,20,camping-le-mas-de-reilhe-77155,
,28/08/2023,19/05/2024,26/05/2024,560,560,MOBILHOME 5 personnes - Paradis Home,,Camping Le Mas de Reilhe,5 Adultes, 30260 CRESPIAN,,20,camping-le-mas-de-reilhe-77155,
,28/08/2023,19/05/2024,26/05/2024,560,560,MOBILHOME 4 personnes - Fidji,,Camping Le Mas de Reilhe,4 Adultes, 30260 CRESPIAN,,20,camping-le-mas-de-reilhe-77155,
,28/08/2023,19/05/2024,26/05/2024,630,630,MOBILHOME 4 personnes - Oakley,,Camping Le Mas de Reilhe,4 Adultes, 30260 CRESPIAN,,20,camping-le-mas-de-reilhe-77155,
,28/08/2023,19/05/2024,26/05/2024,630,630,CHALET 5 personnes - Rêve Confort,,Camping Le Mas de Reilhe,4 Adultes, 30260 CRESPIAN,,20,camping-le-mas-de-reilhe-77155,
,28/08/2023,19/05/2024,26/05/2024,630,630,CHALET 5 personnes - Atlantis,,Camping Le Mas de Reilhe,4 Adultes, 30260 CRESPIAN,,20,camping-le-mas-de-reilhe-77155,
,28/08/2023,19/05/2024,26/05/2024,630,630,MOBILHOME 6 personnes - LOUISIANE,,Camping Le Mas de Reilhe,6 Adultes, 30260 CRESPIAN,,20,camping-le-mas-de-reilhe-77155,
,28/08/2023,19/05/2024,26/05/2024,700,700,MOBILHOME 6 personnes - Ohara 2 chambres,,Camping Le Mas de Reilhe,4 Adultes, 30260 CRESPIAN,,20,camping-le-mas-de-reilhe-77155,
,28/08/2023,19/05/2024,26/05/2024,700,700,MOBILHOME 5 personnes - Super Mercure Riviera,,Camping Le Mas de Reilhe,5 Adultes, 30260 CRESPIAN,,20,camping-le-mas-de-reilhe-77155,
,28/08/2023,19/05/2024,26/05/2024,756,756,MOBILHOME 6 personnes - O'HARA,,Camping Le Mas de Reilhe,6 Adultes, 30260 CRESPIAN,,20,camping-le-mas-de-reilhe-77155,
,28/08/2023,09/12/2023,16/12/2023,313.96,219.77,CHAMBRE 2 personnes - Formule Hôtelière 2 Personnes Climatisé + TV,,Camping maeva Escapades - Les Cottages de Perpignan,2 Adultes, 66000 PERPIGNAN,,49,camping-maeva-escapades-les-cottages-de-perpignan-92880,
,28/08/2023,09/12/2023,16/12/2023,418.96,293.27,APPARTEMENT 2 personnes - Suite 2 Personnes Climatisé + TV,,Camping maeva Escapades - Les Cottages de Perpignan,2 Adultes, 66000 PERPIGNAN,,49,camping-maeva-escapades-les-cottages-de-perpignan-92880,
,28/08/2023,09/12/2023,16/12/2023,523.96,366.77,MOBILHOME 6 personnes - Mobilhome 6 personnes,,Camping maeva Escapades - Les Cottages de Perpignan,6 Adultes, 66000 PERPIGNAN,,49,camping-maeva-escapades-les-cottages-de-perpignan-92880,
,28/08/2023,29/10/2023,05/11/2023,105.90,105.90,"EMPLACEMENT - Forfait Standard : 1 emplacement + 1 véhicule + Tente, Caravane ou Camping-car (sans électricité)",,Camping Amélia,, 66110 AMELIE LES BAINS PALALDA,,43,camping-amelia-79420,
,28/08/2023,29/10/2023,05/11/2023,341.14,341.14,MOBILHOME 4 personnes - Jade 23m² + terrasse couverte + climatisation,,Camping Amélia,4 Adultes, 66110 AMELIE LES BAINS PALALDA,,43,camping-amelia-79420,
,28/08/2023,22/10/2023,29/10/2023,364,364,MOBILHOME 6 personnes - PREMIUM,,Camping Le Bosc d'En Roug,6 Adultes, 66750 SAINT CYPRIEN,,42,camping-le-bosc-den-roug-78217,
,28/08/2023,22/10/2023,29/10/2023,399,399,MOBILHOME 8 personnes - COTTAGE PREMIUM avec 2 salles de bain,,Camping Le Bosc d'En Roug,8 Adultes, 66750 SAINT CYPRIEN,,42,camping-le-bosc-den-roug-78217,
,28/08/2023,22/10/2023,29/10/2023,434,434,MOBILHOME 6 personnes - COTTAGE EXCELLENCE,,Camping Le Bosc d'En Roug,6 Adultes, 66750 SAINT CYPRIEN,,42,camping-le-bosc-den-roug-78217,
,28/08/2023,02/09/2023,09/09/2023,550,550,MOBILHOME 6 personnes - Cottage,,Camping Village Azur,6 Adultes, 34725 SAINT ANDRE,,35,camping-village-azur-87699,
,28/08/2023,02/09/2023,09/09/2023,550,550,MOBILHOME 6 personnes - Mobilhome 6 personnes,,Camping Village Azur,4 Adultes, 34725 SAINT ANDRE,,35,camping-village-azur-87699,
,28/08/2023,02/09/2023,09/09/2023,910,910,MOBILHOME 8 personnes - Mobil Home,,Camping Village Azur,8 Adultes, 34725 SAINT ANDRE,,35,camping-village-azur-87699,
,28/08/2023,09/09/2023,16/09/2023,153.60,138.60,EMPLACEMENT - CONFORT 2 pers. 100m2 avec électricité,,Camping La Clémentine,, 30480 CENDRAS,,36,camping-la-clementine-80898,
,28/08/2023,09/09/2023,16/09/2023,167.20,151.20,EMPLACEMENT - PRESTIGE 2 pers 120m2 avec électricité,,Camping La Clémentine,, 30480 CENDRAS,,36,camping-la-clementine-80898,
,28/08/2023,09/09/2023,16/09/2023,210,210,CHALET 4 personnes - Eco Cabane 2/4 Pers. 10m² + 6m²,,Camping La Clémentine,4 Adultes, 30480 CENDRAS,,36,camping-la-clementine-80898,
,28/08/2023,09/09/2023,16/09/2023,237.20,214.20,EMPLACEMENT - LUXE 2 pers. avec sanitaire,,Camping La Clémentine,, 30480 CENDRAS,,36,camping-la-clementine-80898,
,28/08/2023,09/09/2023,16/09/2023,272.70,245.70,"EMPLACEMENT - Empla LUXE + 2 pers, sanitaire privé + GARDEN PACK",,Camping La Clémentine,, 30480 CENDRAS,,36,camping-la-clementine-80898,
,28/08/2023,09/09/2023,16/09/2023,259,259,CHALET 5 personnes - Confort 4/5 Pers Cuisine d'été 18 m² + 10m²,,Camping La Clémentine,5 Adultes, 30480 CENDRAS,,36,camping-la-clementine-80898,
,28/08/2023,09/09/2023,16/09/2023,280,280,CHALET 6 personnes - Confort 4/6 Pers 30m² + 10m²,,Camping La Clémentine,6 Adultes, 30480 CENDRAS,,36,camping-la-clementine-80898,
,28/08/2023,09/09/2023,16/09/2023,315,315,CHALET 2 personnes - Prestige 1 ch 2/3 pers 13m²+ 8m²,,Camping La Clémentine,2 Adultes, 30480 CENDRAS,,36,camping-la-clementine-80898,
,28/08/2023,09/09/2023,16/09/2023,385,385,CHALET 5 personnes -  Prestige 5 Pers. 25m² + 10m2,,Camping La Clémentine,5 Adultes, 30480 CENDRAS,,36,camping-la-clementine-80898,
,28/08/2023,09/09/2023,16/09/2023,434,434,MOBILHOME 6 personnes - Sunêlia PRESTIGE 3 ch,,Camping La Clémentine,6 Adultes, 30480 CENDRAS,,36,camping-la-clementine-80898,
,28/08/2023,09/09/2023,16/09/2023,560,560,MOBILHOME 6 personnes - Lodge Sunêlia Luxe 3 ch,,Camping La Clémentine,6 Adultes, 30480 CENDRAS,,36,camping-la-clementine-80898,
,28/08/2023,01/10/2023,08/10/2023,101,101,"EMPLACEMENT - Tente, Caravane ou Camping-car",,Camping Le Graniers,, 30170 MONOBLET,,39,camping-le-graniers-80738,
,28/08/2023,01/10/2023,08/10/2023,222,222,TENTE 5 personnes - Cyrus,,Camping Le Graniers,5 Adultes, 30170 MONOBLET,,39,camping-le-graniers-80738,
,28/08/2023,01/10/2023,08/10/2023,330,330,MOBILHOME 6 personnes - Mobil home Roller + climatisation,,Camping Le Graniers,6 Adultes, 30170 MONOBLET,,39,camping-le-graniers-80738,
,28/08/2023,01/10/2023,08/10/2023,432,432,MOBILHOME 6 personnes - Cottage,,Camping Le Graniers,6 Adultes, 30170 MONOBLET,,39,camping-le-graniers-80738,
,28/08/2023,01/10/2023,08/10/2023,432,432,CHALET 7 personnes - Goeland,,Camping Le Graniers,5 Adultes, 30170 MONOBLET,,39,camping-le-graniers-80738,
,28/08/2023,01/10/2023,08/10/2023,540,540,CHALET 8 personnes - Chalet Portland 3 chambres 35 m2,,Camping Le Graniers,8 Adultes, 30170 MONOBLET,,39,camping-le-graniers-80738,
,28/08/2023,29/10/2023,05/11/2023,300,300,MOBILHOME 5 personnes - TRITON - 2 chambres - Essentiel - 24m²,,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,43,camping-le-pinada-77247,
,28/08/2023,29/10/2023,05/11/2023,300,300,MOBILHOME 4 personnes - IRIS - 1 chambre - Récent - 20m²,,Camping Le Pinada,4 Adultes, 11200 FABREZAN,,43,camping-le-pinada-77247,
,28/08/2023,29/10/2023,05/11/2023,350,350,MOBILHOME 5 personnes - LOUISIANE - 2 chambres - 22m²,,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,43,camping-le-pinada-77247,
,28/08/2023,29/10/2023,05/11/2023,380,380,MOBILHOME 5 personnes - TITANIA - 2 chambres - 24m²,,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,43,camping-le-pinada-77247,
,28/08/2023,29/10/2023,05/11/2023,400,400,MOBILHOME 4 personnes - MAGNOLIA - 2 chambres - 28m²,,Camping Le Pinada,4 Adultes, 11200 FABREZAN,,43,camping-le-pinada-77247,
,28/08/2023,29/10/2023,05/11/2023,410,410,"MOBILHOME 4 personnes - BLEUET, VIOLETTE, CAPUCINE - 2 chambres - 28m²",,Camping Le Pinada,4 Adultes, 11200 FABREZAN,,43,camping-le-pinada-77247,
,28/08/2023,29/10/2023,05/11/2023,410,410,"MOBILHOME 4 personnes - ORCHIDEE, JACINTHE - 2 chambres - 28m²",,Camping Le Pinada,4 Adultes, 11200 FABREZAN,,43,camping-le-pinada-77247,
,28/08/2023,29/10/2023,05/11/2023,410,410,MOBILHOME 4 personnes - TULIPE - 2 chambres - 28 m²,,Camping Le Pinada,4 Adultes, 11200 FABREZAN,,43,camping-le-pinada-77247,
,28/08/2023,29/10/2023,05/11/2023,410,410,MOBILHOME 5 personnes - TITANIA CLIM - 2 chambres - 24m² -,,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,43,camping-le-pinada-77247,
,28/08/2023,29/10/2023,05/11/2023,430,430,MOBILHOME 4 personnes - NEUF - 2 chambres - 31m²,,Camping Le Pinada,4 Adultes, 11200 FABREZAN,,43,camping-le-pinada-77247,
,28/08/2023,29/10/2023,05/11/2023,500,500,"MOBILHOME 6 personnes - COQUELICOT, JONQUILLE - 3 chambres - Récent - 30m²",,Camping Le Pinada,6 Adultes, 11200 FABREZAN,,43,camping-le-pinada-77247,
,28/08/2023,29/10/2023,05/11/2023,600,600,MOBILHOME 6 personnes - NEUF - 3 chambres - 34m²,,Camping Le Pinada,6 Adultes, 11200 FABREZAN,,43,camping-le-pinada-77247,
,28/08/2023,04/05/2024,11/05/2024,539.48,156.45,MOBILHOME 6 personnes - Mobil Home Pyrénées 3 Pièces 4/6 Personnes Climatisé + TV,,Camping maeva Club Le Lagon d'Argelès,4 Adultes, 66700 ARGELES,,18,camping-maeva-club-le-lagon-d-argeles-76769,
,28/08/2023,04/05/2024,11/05/2024,591.50,177.45,MOBILHOME 8 personnes - Mobil Home Evolution 4 Pièces 6/8 Personnes Climatisé + TV,,Camping maeva Club Le Lagon d'Argelès,6 Adultes, 66700 ARGELES,,18,camping-maeva-club-le-lagon-d-argeles-76769,
,28/08/2023,04/05/2024,11/05/2024,620.16,198.45,MOBILHOME 10 personnes - Mobil Home Family 5 Pièces 8/10 Personnes Climatisé + TV,,Camping maeva Club Le Lagon d'Argelès,8 Adultes, 66700 ARGELES,,18,camping-maeva-club-le-lagon-d-argeles-76769,
,28/08/2023,24/09/2023,01/10/2023,274,274,MOBILHOME 4 personnes - Basik (secteur jeunes),,La Clape Village,4 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,24/09/2023,01/10/2023,288,288,MOBILHOME 4 personnes - Classik 2 chambres (secteur jeunes),,La Clape Village,4 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,24/09/2023,01/10/2023,414.69,294.43,MOBILHOME 4 personnes - Mobil Home 3 Pièces Classik 4 personnes Climatisé + TV,,La Clape Village,4 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,24/09/2023,01/10/2023,316,316,HÉBERGEMENT INSOLITE 4 personnes - 4 Cabane Cinéma Harry Potter,,La Clape Village,4 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,24/09/2023,01/10/2023,316,316,HÉBERGEMENT INSOLITE 4 personnes - 4 Cabane Cinéma Supers Héros,,La Clape Village,4 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,24/09/2023,01/10/2023,316,316,HÉBERGEMENT INSOLITE 4 personnes - 4 Cabane Cinéma Vaïana,,La Clape Village,4 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,24/09/2023,01/10/2023,316,316,HÉBERGEMENT INSOLITE 4 personnes - 4 Cabane Cinéma Aladin,,La Clape Village,4 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,24/09/2023,01/10/2023,316,316,HÉBERGEMENT INSOLITE 4 personnes - 4 Cabane Cinéma Age de Glace,,La Clape Village,4 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,24/09/2023,01/10/2023,316,316,HÉBERGEMENT INSOLITE 4 personnes - 4 Cabane Cinéma Scoubidoo,,La Clape Village,4 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,24/09/2023,01/10/2023,316,316,HÉBERGEMENT INSOLITE 4 personnes - 4 Cabane Cinéma Star Wars,,La Clape Village,4 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,24/09/2023,01/10/2023,316,316,HÉBERGEMENT INSOLITE 4 personnes - 4 Cabane Cinéma Lucky Luke,,La Clape Village,4 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,24/09/2023,01/10/2023,316,316,HÉBERGEMENT INSOLITE 4 personnes - 4 Cabane Cinéma Spiderman,,La Clape Village,4 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,24/09/2023,01/10/2023,316,316,HÉBERGEMENT INSOLITE 4 personnes - 4 Cabane Cinéma Les Visiteurs,,La Clape Village,4 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,24/09/2023,01/10/2023,316,316,HÉBERGEMENT INSOLITE 4 personnes - 4 Cabane Cinéma Lego,,La Clape Village,4 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,24/09/2023,01/10/2023,479.76,340.63,MOBILHOME 6 personnes - Cottage Privilège 4 Pièces 6 personnes Climatisé + TV,,La Clape Village,6 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,24/09/2023,01/10/2023,360,360,MOBILHOME 4 personnes - Cottage Privilège avec bed extérieur - quartier familles uniquement - zone piétonnière,,La Clape Village,4 Adultes, 34300 AGDE,,38,la-clape-village-76694,
,28/08/2023,30/09/2023,07/10/2023,326,326,CHALET 4 personnes - Cottage Panoramik - 2 chambres,,Camping La Tamarissière,4 Adultes, 34300 AGDE,,39,camping-la-tamarissiere-76692,
,28/08/2023,30/09/2023,07/10/2023,356,356,MAISON 6 personnes - Cottage Privilège 3ch,,Camping La Tamarissière,6 Adultes, 34300 AGDE,,39,camping-la-tamarissiere-76692,
,28/08/2023,30/09/2023,07/10/2023,420,420,MOBILHOME 4 personnes - Cottage Cosy - 2 chambres 25,,Camping La Tamarissière,4 Adultes, 34300 AGDE,,39,camping-la-tamarissiere-76692,
,28/08/2023,10/09/2023,17/09/2023,520,520,MOBILHOME 6 personnes - Cottage Family,,Camping La Sousta,6 Adultes, 30210 REMOULINS,,36,camping-la-sousta-76669,
,28/08/2023,03/12/2023,10/12/2023,98,98,EMPLACEMENT - Forfait Emplacement + véhicule,,Camping Les Casteillets,,Chemin de l'Ille ,,48,camping-les-casteillets-79412,
,28/08/2023,03/12/2023,10/12/2023,290,290,CHALET 3 personnes - Chalet Confort 16 m² - 1 chambre - climatisation (possibilité couchage d'appoint) 2 pers,,Camping Les Casteillets,2 Adultes,Chemin de l'Ille ,,48,camping-les-casteillets-79412,
,28/08/2023,03/12/2023,10/12/2023,330,330,MOBILHOME 4 personnes - Confort 28 m² - 2 chambres - climatisation,,Camping Les Casteillets,4 Adultes,Chemin de l'Ille ,,48,camping-les-casteillets-79412,
,28/08/2023,09/12/2023,16/12/2023,315,315,CHALET 5 personnes - Chalet 30 m2,,Domaine De Montrose,5 Adultes, 34120 PEZENAS,,49,domaine-de-montrose-80142,
,28/08/2023,09/12/2023,16/12/2023,315,315,CHALET 8 personnes - Chalet 30 m2 + mezzanine,,Domaine De Montrose,8 Adultes, 34120 PEZENAS,,49,domaine-de-montrose-80142,
,28/08/2023,09/12/2023,16/12/2023,315,315,CHALET 6 personnes - Chalet 25 m2,,Domaine De Montrose,6 Adultes, 34120 PEZENAS,,49,domaine-de-montrose-80142,
,28/08/2023,09/12/2023,16/12/2023,330,330,MOBILHOME 6 personnes - Mobil home 29 m2,,Domaine De Montrose,6 Adultes, 34120 PEZENAS,,49,domaine-de-montrose-80142,
,28/08/2023,09/12/2023,16/12/2023,375,375,CHALET 7 personnes - CHALET 35 m2,,Domaine De Montrose,7 Adultes, 34120 PEZENAS,,49,domaine-de-montrose-80142,
,28/08/2023,23/09/2023,30/09/2023,147,147,EMPLACEMENT,,Camping La Lagune,, 34110 FRONTIGNAN,,38,camping-la-lagune-77848,
,28/08/2023,23/09/2023,30/09/2023,278.25,209.25,MOBILHOME 2 personnes - 2 PERS,,Camping La Lagune,2 Adultes, 34110 FRONTIGNAN,,38,camping-la-lagune-77848,
,28/08/2023,23/09/2023,30/09/2023,306.25,230.25,MOBILHOME 4 personnes - 4 PERS,,Camping La Lagune,4 Adultes, 34110 FRONTIGNAN,,38,camping-la-lagune-77848,
,28/08/2023,23/09/2023,30/09/2023,336.75,252.75,MOBILHOME 4 personnes - 4 PERS VUE ETANG,,Camping La Lagune,4 Adultes, 34110 FRONTIGNAN,,38,camping-la-lagune-77848,
,28/08/2023,23/09/2023,30/09/2023,370.25,278.25,MOBILHOME 6 personnes - 4/6 PERS,,Camping La Lagune,6 Adultes, 34110 FRONTIGNAN,,38,camping-la-lagune-77848,
,28/08/2023,23/09/2023,30/09/2023,370.25,278.25,MOBILHOME 4 personnes - 4 PERS CLIM,,Camping La Lagune,4 Adultes, 34110 FRONTIGNAN,,38,camping-la-lagune-77848,
,28/08/2023,23/09/2023,30/09/2023,408,306,MOBILHOME 6 personnes - 4/6 PERS CLIM,,Camping La Lagune,6 Adultes, 34110 FRONTIGNAN,,38,camping-la-lagune-77848,
,28/08/2023,23/09/2023,30/09/2023,448.75,336.75,MOBILHOME 6 personnes - COTTAGE 4/6 PERS,,Camping La Lagune,6 Adultes, 34110 FRONTIGNAN,,38,camping-la-lagune-77848,
,28/08/2023,30/09/2023,07/10/2023,315,315,MOBILHOME 4 personnes - Mobilhome 4 personnes,,Camping Le Rebau,4 Adultes, 34290 MONTBLANC,,39,camping-le-rebau-77838,
,28/08/2023,30/09/2023,07/10/2023,315,315,"MOBILHOME 6 personnes - 4/6 places, JUPITER",,Camping Le Rebau,4 Adultes, 34290 MONTBLANC,,39,camping-le-rebau-77838,
,28/08/2023,30/09/2023,07/10/2023,370,370,MOBILHOME 6 personnes - 2 chambres,,Camping Le Rebau,6 Adultes, 34290 MONTBLANC,,39,camping-le-rebau-77838,
,28/08/2023,30/09/2023,07/10/2023,410,410,MOBILHOME 6 personnes - 3 chambres SUPER TITANIA,,Camping Le Rebau,6 Adultes, 34290 MONTBLANC,,39,camping-le-rebau-77838,
,28/08/2023,30/09/2023,07/10/2023,450,450,MOBILHOME 8 personnes - 6/8 places - SUPER OCTALIA,,Camping Le Rebau,6 Adultes, 34290 MONTBLANC,,39,camping-le-rebau-77838,
,28/08/2023,30/09/2023,07/10/2023,450,450,MOBILHOME 5 personnes - PMR,,Camping Le Rebau,5 Adultes, 34290 MONTBLANC,,39,camping-le-rebau-77838,
,28/08/2023,03/09/2023,10/09/2023,350,350,MOBILHOME 4 personnes - Nouméa,,Camping Le Barralet,2 Adultes, 30210 COLLIAS,,35,camping-le-barralet-79019,
,28/08/2023,03/09/2023,10/09/2023,427,427,MOBILHOME 4 personnes - Fidji,,Camping Le Barralet,4 Adultes, 30210 COLLIAS,,35,camping-le-barralet-79019,
,28/08/2023,03/09/2023,10/09/2023,427,427,MOBILHOME 4 personnes - Waikiki,,Camping Le Barralet,2 Adultes, 30210 COLLIAS,,35,camping-le-barralet-79019,
,28/08/2023,03/09/2023,10/09/2023,504,504,MOBILHOME 6 personnes - Fidji XL,,Camping Le Barralet,2 Adultes, 30210 COLLIAS,,35,camping-le-barralet-79019,
,28/08/2023,03/09/2023,10/09/2023,504,504,CHALET 5 personnes - Titom,,Camping Le Barralet,3 Adultes, 30210 COLLIAS,,35,camping-le-barralet-79019,
,28/08/2023,03/09/2023,10/09/2023,504,504,MOBILHOME 6 personnes - Waikiki XL,,Camping Le Barralet,2 Adultes, 30210 COLLIAS,,35,camping-le-barralet-79019,
,28/08/2023,03/09/2023,10/09/2023,504,504,MOBILHOME 4 personnes - Bali,,Camping Le Barralet,2 Adultes, 30210 COLLIAS,,35,camping-le-barralet-79019,
,28/08/2023,03/09/2023,10/09/2023,539,539,CHALET 6 personnes - Samoa,,Camping Le Barralet,4 Adultes, 30210 COLLIAS,,35,camping-le-barralet-79019,
,28/08/2023,03/09/2023,10/09/2023,539,539,MOBILHOME 4 personnes - Bahia,,Camping Le Barralet,2 Adultes, 30210 COLLIAS,,35,camping-le-barralet-79019,
,28/08/2023,24/12/2023,31/12/2023,313.96,219.77,CHAMBRE 2 personnes - Formule Hôtelière 2 Personnes Climatisé + TV,,Camping maeva Escapades - Les Cottages de Perpignan,2 Adultes, 66000 PERPIGNAN,,51,camping-maeva-escapades-les-cottages-de-perpignan-92880,
,28/08/2023,24/12/2023,31/12/2023,418.96,293.27,APPARTEMENT 2 personnes - Suite 2 Personnes Climatisé + TV,,Camping maeva Escapades - Les Cottages de Perpignan,2 Adultes, 66000 PERPIGNAN,,51,camping-maeva-escapades-les-cottages-de-perpignan-92880,
,28/08/2023,24/12/2023,31/12/2023,523.96,366.77,MOBILHOME 6 personnes - Mobilhome 6 personnes,,Camping maeva Escapades - Les Cottages de Perpignan,6 Adultes, 66000 PERPIGNAN,,51,camping-maeva-escapades-les-cottages-de-perpignan-92880,
,28/08/2023,16/09/2023,23/09/2023,133,133,"EMPLACEMENT - pour tente, caravane et camping-car",,Camping le Pré Saint André,, 30250 SOUVIGNARGUES,,37,camping-le-pre-saint-andre-78583,
,28/08/2023,16/09/2023,23/09/2023,455,455,CHALET 5 personnes - sans sanitaire,,Camping le Pré Saint André,4 Adultes, 30250 SOUVIGNARGUES,,37,camping-le-pre-saint-andre-78583,
,28/08/2023,16/09/2023,23/09/2023,485,485,MOBILHOME 4 personnes - Vintage 2ch 4pers.climatisé,,Camping le Pré Saint André,4 Adultes, 30250 SOUVIGNARGUES,,37,camping-le-pre-saint-andre-78583,
,28/08/2023,16/09/2023,23/09/2023,504,504,MOBILHOME 4 personnes - Cottage Villandry 2 ch. 4 pers.,,Camping le Pré Saint André,4 Adultes, 30250 SOUVIGNARGUES,,37,camping-le-pre-saint-andre-78583,
,28/08/2023,16/09/2023,23/09/2023,546,546,MOBILHOME 4 personnes - climatisé,,Camping le Pré Saint André,4 Adultes, 30250 SOUVIGNARGUES,,37,camping-le-pre-saint-andre-78583,
,28/08/2023,16/09/2023,23/09/2023,560,560,MOBILHOME 6 personnes - Cottage Famille 2 ch. 6 pers.,,Camping le Pré Saint André,6 Adultes, 30250 SOUVIGNARGUES,,37,camping-le-pre-saint-andre-78583,
,28/08/2023,16/09/2023,23/09/2023,602,602,MOBILHOME 4 personnes - COSY HOUSE,,Camping le Pré Saint André,4 Adultes, 30250 SOUVIGNARGUES,,37,camping-le-pre-saint-andre-78583,
,28/08/2023,16/09/2023,23/09/2023,630,630,MOBILHOME 6 personnes - BUNGALOW,,Camping le Pré Saint André,4 Adultes, 30250 SOUVIGNARGUES,,37,camping-le-pre-saint-andre-78583,
,28/08/2023,16/09/2023,23/09/2023,630,630,MOBILHOME 4 personnes - SWEET HOME,,Camping le Pré Saint André,4 Adultes, 30250 SOUVIGNARGUES,,37,camping-le-pre-saint-andre-78583,
,28/08/2023,16/09/2023,23/09/2023,644,644,MOBILHOME 6 personnes - GRAND LARGE,,Camping le Pré Saint André,6 Adultes, 30250 SOUVIGNARGUES,,37,camping-le-pre-saint-andre-78583,
,28/08/2023,16/09/2023,23/09/2023,665,665,MOBILHOME 6 personnes - FAMILLE,,Camping le Pré Saint André,4 Adultes, 30250 SOUVIGNARGUES,,37,camping-le-pre-saint-andre-78583,
,28/08/2023,16/09/2023,23/09/2023,735,735,MOBILHOME 6 personnes - Nest - 3ch 6 pers. climatisé,,Camping le Pré Saint André,6 Adultes, 30250 SOUVIGNARGUES,,37,camping-le-pre-saint-andre-78583,
,28/08/2023,16/09/2023,23/09/2023,840,840,HÉBERGEMENT INSOLITE 8 personnes - 2 chambres,,Camping le Pré Saint André,5 Adultes, 30250 SOUVIGNARGUES,,37,camping-le-pre-saint-andre-78583,
,28/08/2023,02/12/2023,09/12/2023,693,693,MOBILHOME 4 personnes - MH2 31 m²,,Camping Les Fougères,4 Adultes, 17940 RIVEDOUX PLAGE,,48,camping-les-fougeres-78128,
